recv_unix,inference_ms
1773996837.438123,4646.28955078125
1773996842.2422845,4485.85986328125
1773996843.2150495,15419.15625
1773996846.483067,3323.6435546875
1773996846.552545,4265.115234375
1773996849.7878668,3158.79541015625
1773996849.7884257,3152.73291015625
1773996851.5953605,1784.628662109375
1773996851.9057426,1877.0660400390625
1773996852.8979917,1283.8331298828125
1773996852.9329453,1211.10595703125
1773996853.8185923,911.9371337890625
1773996853.8639343,918.240234375
1773996855.5351613,1459.1424560546875
1773996855.9054508,1662.3096923828125
1773996856.9037735,1545.4534912109375
1773996857.0435717,1297.1160888671875
1773996857.8823092,962.2786865234375
1773996857.9340546,867.8486938476562
1773996858.043516,2268.532958984375
1773996858.7823257,891.4266357421875
1773996858.842275,901.4547119140625
1773996858.956167,909.4437255859375
1773996859.560681,707.4329833984375
1773996859.7158902,846.30810546875
1773996859.9407773,975.9575805664062
1773996860.359335,851.6856689453125
1773996860.526455,822.038818359375
1773996860.7491903,799.7465209960938
